Name, Decription,Name, Decription,Acer Predator X34 QHD IPS G-Sync Gaming Monitor,--34" Ultrawide QHD (3440x1440)--IPS 4ms response time--Up to 100Hz Refresh Rate--3800R Curvature Curved Immersion--ZeroFrame design for multi-monitor setups--Nvidia G-Sync 2--3 Years On-site Warranty
WD RED 4TB NAS Hard Disk,|--Fill your NAS with WD Red, then fill it with awesome.--Exclusive NASware 3.0--Built for optimum NAS compatibility--3D Active Balance Plus--24/7 reliability--Disk Utilities and Migration Tools|
|Transcend SSD220S 240GB SATA 6Gb/s 2.5" Solid State Drive Aluminium
Case|,--Capacity: 240GB--Transfer speeds: 550MB/s read & 450MB/s write--2.5" Solid State Drive Aluminium Case--Ultra Slim & Portable--Support Device Sleep Mode (DevSleep)
Logitech G Pro Gaming Mouse,--Play Like the Pros--Classic Comfort--Advanced Optical Gaming Sensor--RGB Illumination--6 Programmable Buttons--Onboard Memory--Advanced Button Tensioning--Lightweight and Durable
Samsung SSD 850 EVO Internal Hard Drive 1TB,--Innovative 3D V-NAND Technology--Incredible Read/Write Performance--Enhanced Endurance and Reliability.--Efficient Power Management--Enhanced RAPID mode--Dynamic Thermal Guard Protection--5 years local Samsung warranty
Logitech G PRO GAMING KEYBOARD,|--Advanced Mechanical--Compact, Durable Design--More Responsive Than Ever--Rock-Solid Reliability--Detachable USB Cable--26-key rollover--Brilliant RGB Lighting--Over 300 built-in profiles--Customizable Game Mode--Function Key Macros--THREE-STEP ANGLE ADJUSTMENT|
GIGABYTE GeForce GTX 1080 G1 GAMING 8GB,--8GB 256-Bit GDDR5X--Core Clock 1721 MHz in OC Mode--1695 MHz in Gaming Mode--Boost Clock 1860 MHz in OC Mode--1835 MHz in Gaming Mode--1 x Dual-link DVI-D 1 x HDMI 2.0b 3 x DisplayPort 1.4--PCI Express 3.0 x16
Microsoft Office 2016 Home and Business (1 PC),|--Word, Excel, PowerPoint, OneNote, and Outlook for 1
PC--One-time purchase--View, share, or edit documents online|
Logitech MX Anywhere 2 - Wireless Mobile Mouse,|--Tracks virtually anywhere--Compact, sculpted shape--Dual connectivity--Easily switch between three devices--Hyper-fast scroll--Rechargeable battery|
|Transcend SSD220S 480GB SATA 6Gb/s 2.5" Solid State Drive Aluminium
Case|,--Capacity: 480GB--Transfer speeds: 550MB/s read & 450MB/s write--2.5" Solid State Drive Aluminium Case--Ultra Slim & Portable--Support Device Sleep Mode (DevSleep)
Logitech Mouse M331 Silent Plus,--Enjoy the sound of silence--Crafted for your right hand--24-month battery life*--Simple. Reliable. Strong.
Steelseries QCK Mini Gaming Mouse Pad,|--Non-slip rubber base--Cloth surface for smooth glide--Durable / Super Soft cloth surface provide consistent
glide--Tested by professional gamers|
Fuji Xerox DocuPrint P265dw,|--Print up to 30 ppm (A4)--266 MHZ processor--Productivity, Robust & Compact design--Print resolution up to HQ1200 technology (2400 x 600 dpi
quality)--Input tray holds 250 sheets--Mobile print - AirPrint, Google Cloud Print, Wi-Fi Direct
& Print Utility|
Samsung C24F390 24" Widescreen 4ms LED Monitor,--Curved Widescreen--1920 x 1080--Response Time: 4ms (GTG)--Refresh Rate: 60Hz--Contrast Ration: DCR Mega Infinity (3000:1)--HDMI--D-Sub--Tilt
Palit GeForce GTX 1060 Dual 6GB GDDR5 PCI-E Graphics Card,|--In-house Twin Fan 2-slot cooler design!--0-db Tech - Silent operation on idle and general workload!--Latest Pascal GP106 Architecture (16nm FinFET)--CUDA Cores: 1280
Core Clock : 1506MHz (Base) / 1708MHz (Boost)--VRAM: 6GB GDDR5 192bit Interface (192GB/s Mem. Bandwidth)--HDMI 2.0b / DVI-D / DisplayPort 1.4 (3x)--Power Efficient: 120W TDP
1x6-pin PCI-E Power Connector|
